name,description,stars,forks,language,url,readme_snippet,account
bootstrap,"The most popular front-end framework for developing responsive, mobile first projects on the web.",0,0,CSS,https://github.com/eddZA/bootstrap,"# [Bootstrap](http://getbootstrap.com)
[![Bower version](https://badge.fury.io/bo/bootstrap.svg)](http://badge.fury.io/bo/bootstrap)
[![NPM version](h",eddZA
government-digital-strategy,Government Digital Strategy,0,0,CSS,https://github.com/eddZA/government-digital-strategy,"*""Publish, don't send.""* - Mike Bracken

# The Digital Strategy has moved

We now publish and host this document on [GOV.UK](https://www.gov.uk):

htt",eddZA
government-service-design-manual,No description,1,0,JavaScript,https://github.com/eddZA/government-service-design-manual,"Government Service Design Manual
================================

This is the repository for the UK Government's guidance and standards for developin",eddZA
helpful-intranet,GOV.UK-style intranet WordPress theme,0,0,PHP,https://github.com/eddZA/helpful-intranet,"# Helpful intranet #
================

Contributors: lukeoatham  
Link: http://www.helpfultechnology.com  
Tags: intranet, gov.uk  
Requires at least:",eddZA
Leaflet,JavaScript library for mobile-friendly interactive maps,0,0,JavaScript,https://github.com/eddZA/Leaflet,"<img src=""http://leafletjs.com/docs/images/logo.png"" alt=""Leaflet"" />

Leaflet is an open source JavaScript library for **mobile-friendly interactiv",eddZA
.github,No description,0,0,None specified,https://github.com/bolsel/.github,# .github,bolsel
caddy,No description,0,0,Dockerfile,https://github.com/bolsel/caddy,"# caddy

## api-platform
",bolsel
code-server,VS Code in the browser,0,0,None specified,https://github.com/bolsel/code-server,"# code-server

[![""GitHub Discussions""](https://img.shields.io/badge/%20GitHub-%20Discussions-gray.svg?longCache=true&logo=github&colorB=purple)](http",bolsel
daisyui,"⭐️ ⭐️ ⭐️ ⭐️ ⭐️  The most popular, free and open-source Tailwind CSS component library",0,0,Svelte,https://github.com/bolsel/daisyui,"<div align=""center"">

[![][logo-url]][docs-url]

**The most popular, free and open-source component library for Tailwind CSS**

[![][version]](https:/",bolsel
directus,The Modern Data Stack 🐰 — Directus is an instant REST+GraphQL API and intuitive no-code data collaboration app for any SQL database.,0,0,TypeScript,https://github.com/bolsel/directus,directus/readme.md,bolsel
docker-openldap,OpenLDAP container image 🐳🌴,0,0,None specified,https://github.com/bolsel/docker-openldap,"# osixia/openldap

[![Docker Pulls](https://img.shields.io/docker/pulls/osixia/openldap.svg)](https://hub.docker.com/r/osixia/openldap/)
[![Docker Sta",bolsel
docs-appflowy,"Bring projects, wikis, and teams together with AI. AppFlowy is an AI collaborative workspace where you achieve more without losing control of your data. The best open source alternative to Notion.",0,0,Dart,https://github.com/bolsel/docs-appflowy,"<h1 align=""center"" style=""border-bottom: none"">
    <b>
        <a href=""https://www.appflowy.io"">AppFlowy.IO</a><br>
    </b>
    ⭐️  The Open Source",bolsel
editorjs-image,Image Block for Editor.js,0,0,None specified,https://github.com/bolsel/editorjs-image,README not available,bolsel
helm-charts,No description,0,0,Smarty,https://github.com/bolsel/helm-charts,"# bolsel helm charts
",bolsel
infrastructure,Infrastructure as Code,0,0,HCL,https://github.com/bolsel/infrastructure,"# Infrastructure Bolsel

## :link: Links
  - [Ansible](https://docs.ansible.com/)
  - [Docker](https://docs.docker.io/)
  - [Kubernetes](https://kuber",bolsel
kukusa-ui,No description,0,0,None specified,https://github.com/bolsel/kukusa-ui,# kukusa-ui,bolsel
lruto,No description,0,0,TypeScript,https://github.com/bolsel/lruto,"# lruto

## referensi

- [Api Platform Getting Started Guide](https://api-platform.com/docs/distribution)
",bolsel
