name,description,stars,forks,language,url,readme,account,topic,summary
accessible-autocomplete,"An autocomplete component, built to be accessible.",942,149,JavaScript,https://github.com/alphagov/accessible-autocomplete,"# Accessible autocomplete

The accessible autocomplete is a component that helps users choose answers from a list you provide. You can also use it to ",alphagov,accessibility-tools,"The repository provides an accessible autocomplete component designed to help users select answers from a predefined list. It ensures improved usability and accessibility, adhering to standards for users with disabilities. The component can be customized and integrated into various applications to enhance user experience."
hamagen-react-native,Israel's Ministry of Health's COVID-19 Exposure Prevention App,510,153,TypeScript,https://github.com/MohGovIL/hamagen-react-native,"# Hamagen
![Build](https://github.com/MohGovIL/hamagen-react-native/workflows/Build/badge.svg)
[![CodeCov](https://codecov.io/gh/MohGovIL/hamagen-reac",MohGovIL,public-health-tech,"Hamagen is a COVID-19 exposure prevention app developed by Israel's Ministry of Health. Built using React Native, the app helps users determine potential exposure to confirmed COVID-19 cases by cross-referencing their location history with epidemiological data. It prioritizes user privacy by conducting all data processing locally on the device. The repository includes the app's source code, build instructions, and relevant documentation."
falcon,Falcon: The Hyperledger Fabric Deployment Helper for Kubernetes is an open-source project designed to streamline the deployment and management of Hyperledger Fabric based blockchain networks on K8.,403,42,Smarty,https://github.com/npci/falcon,"## Falcon: Hyperledger Fabric Deployment Helper for Kubernetes

[![NPCIOSS Lifecycle](https://img.shields.io/badge/oss_lifecyce-active-green)](OSSMETA",npci,blockchain-deployment,"Falcon is an open-source tool designed to simplify the deployment and management of Hyperledger Fabric blockchain networks on Kubernetes. It provides automated workflows and configurations to streamline setup, ensuring scalability and ease of use for blockchain applications. Ideal for developers and organizations working with Hyperledger Fabric, Falcon enhances efficiency and reduces manual effort in Kubernetes-based environments."
pdf2md,A PDF to Markdown converter,315,57,JavaScript,https://github.com/opengovsg/pdf2md,"# pdf2md

JavaScript npm library to parse PDF files and convert them into Markdown

## Major Changes

See [Releases](https://github.com/opendocsg/pdf2",opengovsg,pdf-to-markdown,"**pdf2md** is a JavaScript npm library designed to parse PDF files and convert them into Markdown format. It enables users to streamline the process of transforming PDF content into an editable, lightweight Markdown structure. For details on updates and changes, users can refer to the [Releases](https://github.com/opendocsg/pdf2)."
FormSG,Form builder for the Singapore Government,298,95,TypeScript,https://github.com/opengovsg/FormSG,"<p align=""left"">
  <a href=""https://form.gov.sg""><img src=""https://file.go.gov.sg/form-logo-background-rmved.png""></a>
</p>

---

[![Contributor Coven",opengovsg,government-tech,"This repository provides a form builder platform designed for the Singapore Government, enabling the creation and management of digital forms. It features tools tailored for secure, efficient, and user-friendly form generation, catering to public sector needs. The platform supports easy deployment and scalability while adhering to government standards."
autenticacao.gov,"Middleware Oficial de Identificação Eletrónica em Portugal - Cartão de Cidadão, da Chave Móvel Digital e Sistema de Certificação de atributos profissionais",190,34,C++,https://github.com/amagovpt/autenticacao.gov,"# Middleware Oficial de Identificação Eletrónica em Portugal - Cartão de Cidadão, da Chave Móvel Digital e Sistema de Certificação de atributos profis",amagovpt,government-tech,"This GitHub repository provides the official middleware for electronic identification in Portugal. It includes tools for the Citizen Card, Digital Mobile Key, and Professional Attribute Certification System, enabling secure authentication and digital signature functionalities."
airflow-pipeline,An Airflow docker image preconfigured to work well with Spark and Hadoop/EMR,174,59,Python,https://github.com/dsaidgovsg/airflow-pipeline,"# Airflow Pipeline Docker Image Set-up

![CI Status](https://img.shields.io/github/workflow/status/dsaidgovsg/airflow-pipeline/CI/master?label=CI&logo",dsaidgovsg,data,This GitHub repository provides a preconfigured Apache Airflow Docker image optimized for integration with Spark and Hadoop/EMR. It includes an efficient setup for running data pipelines seamlessly in distributed computing environments. The repository appears to focus on simplifying deployment and workflow orchestration in big data ecosystems.
Open_First_Whitepaper,Open First Whitepaper - Livre blanc Ouvert en premier,171,54,JavaScript,https://github.com/canada-ca/Open_First_Whitepaper,"(Le français suit)

# Open First Whitepaper (DRAFT)

The Treasury Board of Canada Secretariat is writing this whitepaper to pull together our thinking",canada-ca,government-tech,"The ""Open First Whitepaper"" is a draft document being developed by the Treasury Board of Canada Secretariat to consolidate its perspectives on open practices. It aims to outline strategies and principles for adopting openness in government processes, with a specific focus on transparency, collaboration, and innovation. The repository serves as a working space for drafting and refining this whitepaper. Content is bilingual, with portions available in English and French."
geo-deep-learning,Deep learning applied to georeferenced datasets,168,53,Python,https://github.com/NRCan/geo-deep-learning,"
![Logo](./docs/img/logo.png)

## **About**

The **Geo-Deep-Learning** project stems from an initiative at NRCan's [CCMEO](https://www.nrcan.gc.ca/ear",NRCan,geospatial-ai,"The **Geo-Deep-Learning** repository focuses on applying deep learning techniques to georeferenced datasets. Developed by NRCan's CCMEO, the project aims to leverage advanced machine learning methods for geospatial analysis and processing. It is designed to enable users to explore, train, and deploy deep learning models for various geospatial applications effectively."
Taipei-City-Dashboard,The Open-Source Repository of Taipei City Dashboard. Try it out by clicking the link below!,160,559,Python,https://github.com/taipei-doit/Taipei-City-Dashboard,"# <img src='Taipei-City-Dashboard-FE/src/assets/images/TUIC.svg' height='28'> Taipei City Dashboard

## Introduction

Taipei City Dashboard is a data ",taipei-doit,government-tech,The Taipei City Dashboard is an open-source project designed to visualize and interact with data related to Taipei City. It provides users with an accessible dashboard interface for exploring city metrics and statistics. The repository includes resources for the front-end implementation using modern web technologies. Users can try the dashboard via the provided link.
FGI-GSRx,FGI-GSRx Open Source multi-GNSS software receiver,146,59,MATLAB,https://github.com/nlsfi/FGI-GSRx,"### FGI-GSRx v2.0.1

FGI's GNSS Jamming and Spoofing Datasets can be found [here](https://www.maanmittauslaitos.fi/en/research/research/gnss-specialis",nlsfi,geospatial-ai,"FGI-GSRx is an open-source multi-GNSS software receiver developed by FGI. It supports research and development in GNSS technologies, including resistance to jamming and spoofing. The repository links to GNSS jamming and spoofing datasets for further exploration and testing."
europa-component-library,ECL - Europa Component Library,136,35,JavaScript,https://github.com/ec-europa/europa-component-library,"# ECL v4 - Europa Component Library

[![code style: prettier](https://img.shields.io/badge/code_style-prettier-ff69b4.svg?style=flat-square)](https://",ec-europa,design-systems,"ECL (Europa Component Library) is a design system and component library for building consistent and reusable user interfaces, primarily designed for Europa, the European Commission's web platform. The library includes styled components and follows coding standards such as Prettier for code formatting. It aims to streamline UI development and maintain design consistency across projects."
oobee,"Oobee (formerly known as Purple A11y) is a customisable, automated web accessibility testing tool that allows software development teams to find and fix accessibility problems to improve persons with disabilities (PWDs) access to digital services.",135,46,EJS,https://github.com/GovTechSG/oobee,"# Oobee (CLI)

[Oobee](https://go.gov.sg/oobee-cli) (formerly known as Purple A11y) is a customisable, automated accessibility testing tool that allow",govtechsg,accessibility-tools,"Oobee is a customizable, automated web accessibility testing tool designed to help software development teams identify and address accessibility issues, enhancing digital service access for people with disabilities (PWDs). Previously known as Purple A11y, it is available as a CLI tool and aims to streamline the process of improving web accessibility. The tool supports automated testing and customization to fit various project needs."
redbox,Bringing Generative AI to the way the Civil Service works,119,48,Jupyter Notebook,https://github.com/i-dot-ai/redbox,[![Integration Tests](https://github.com/i-dot-ai/redbox/actions/workflows/integration.yml/badge.svg?branch=main)](https://github.com/i-dot-ai/redbox/,i-dot-ai,government-tech,"This GitHub repository focuses on integrating generative AI solutions into Civil Service workflows to enhance efficiency and innovation. It includes tools, frameworks, and workflows tailored for public sector use, emphasizing AI-driven optimization. The repository is actively maintained, with integration tests in place, ensuring reliability and robust development."
GoGovSG,The official link shortener of the Singapore Government,106,39,TypeScript,https://github.com/opengovsg/GoGovSG,"# GoGovSG

[![Build Status](https://travis-ci.com/opengovsg/GoGovSG.svg?branch=develop)](https://travis-ci.com/opengovsg/GoGovSG)
[![Coverage Status](",opengovsg,government-tech,"GoGovSG is the official link shortener service used by the Singapore Government. Designed to provide trusted and efficient URL shortening, it supports public sector agencies in sharing secure and concise links. The repository includes build status and code coverage badges, showcasing its maintained and tested functionality."
openprocurement.api,API interface to OpenProcurement database,104,73,Python,https://github.com/openprocurement/openprocurement.api,".. image:: https://travis-ci.org/openprocurement/openprocurement.api.svg?branch=master
    :target: https://travis-ci.org/openprocurement/openprocurem",openprocurement,government-tech,"The repository provides an API interface for interacting with the OpenProcurement database, enabling efficient access and management of procurement data. It includes tools for seamless integration and adheres to OpenProcurement standards. Continuous integration is implemented via Travis CI for stable and reliable performance."
awesome-gov-datasets,A curated set of references to useful UK Government datasets ,104,6,Python,https://github.com/i-dot-ai/awesome-gov-datasets,"# Awesome UK Government Datasets

[![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d29fed78fa85652e3a63e154dd8e8829/media/badge.svg)](h",i-dot-ai,government-tech,"The repository, **Awesome UK Government Datasets**, provides a curated collection of references to valuable datasets published by the UK Government. It is designed to serve as a resource for researchers, developers, and anyone interested in accessing official government data. The project aligns with the ""Awesome"" list format, offering structured and well-maintained links to enhance usability."
cloud-guardrails,Minimum guardrails for GC's cloud operationalization framework.,98,32,JavaScript,https://github.com/canada-ca/cloud-guardrails,"# GC Cloud Guardrails

([Français](#mesures-de-protection-du-nuage-du-gc))

**The latest version of the GC Cloud Guardrails can be found on [canada.ca",canada-ca,government-tech,"The GC Cloud Guardrails repository outlines the minimum standards for the Canadian Government's cloud operationalization framework. It provides foundational guidelines to ensure secure and compliant cloud usage across GC systems. The latest version of the guardrails is hosted on Canada.ca, serving as a centralized resource for adherence."
mockpass,A mock SingPass/CorpPass/MyInfo server for dev purposes,95,86,CSS,https://github.com/opengovsg/mockpass,"# MockPass

A mock Singpass/Corppass/Myinfo v3/sgID v2 server for dev purposes

## Quick Start (hosted remotely on Gitpod)

[![Gitpod Ready-to-Code](h",opengovsg,government-tech,"MockPass is a mock server that emulates SingPass, CorpPass, MyInfo v3, and sgID v2 functionalities for development purposes. It can be quickly started remotely using Gitpod, providing developers with a convenient environment for testing and integration without depending on live government services."
multimodal-learning-hands-on-tutorial,No description,93,13,Jupyter Notebook,https://github.com/dsaidgovsg/multimodal-learning-hands-on-tutorial,"# Classifying Multimodal Data using Transformers

## Motivation
The increasing prevalence of multimodal data in our society has led to the increased n",dsaidgovsg,multimodal-data-processing,"This repository explores the use of Transformers for classifying multimodal data, addressing the growing significance of multimodal information in modern contexts. It appears to focus on leveraging advanced deep learning techniques to handle and integrate multiple data modalities effectively. Specific implementation details or datasets may not be included in the visible README fragment."
accessibility-tool-audit,Automated accessibility tools audit,84,31,HTML,https://github.com/alphagov/accessibility-tool-audit,"# Accessibility tool audit

Automated accessibility checkers can be used to help identify accessibility issues in digital services. They're good for f",alphagov,accessibility-tools,This GitHub repository focuses on auditing automated accessibility tools to identify accessibility issues in digital services. It provides resources and guidance on leveraging these tools effectively to enhance accessibility. The repository aims to support developers and designers in creating more inclusive digital experiences.
terraform-modules,Reusable Terraform modules,78,23,HCL,https://github.com/dsaidgovsg/terraform-modules,"# Terraform modules

This repository contains a set of (opinionated) [Terraform](https://www.terraform.io/)
[modules](https://www.terraform.io/docs/mo",dsaidgovsg,infrastructure-as-code,"This GitHub repository offers a collection of reusable and opinionated Terraform modules designed to simplify infrastructure as code deployment. The modules are tailored for specific use cases, aligning with best practices. This resource is suitable for developers looking to standardize and accelerate their Terraform-based workflows."
PCTF-CCP,Pan-Canadian Trust Framework | Cadre de Confiance Pancanadien,77,13,CSS,https://github.com/canada-ca/PCTF-CCP,"# Public Sector Profile of the Pan-Canadian Trust Framework | Cadre de Confiance pancanadien

## Overview

The latest update [PCTF Version 1.5 Consult",canada-ca,government-tech,"The GitHub repository contains the Public Sector Profile of the Pan-Canadian Trust Framework (PCTF), designed to establish standards for digital identity and trust across Canada. The framework ensures consistency, security, and interoperability in digital services for public sector organizations. It includes resources to support the implementation and consultation of PCTF Version 1.5. The repository focuses on enhancing trust in digital interactions within a Canadian context."
welcome,Start here! readme for our organization / Commencez ici! readme pour notre organisation,70,11,None specified,https://github.com/canada-ca/welcome,"# Welcome

Welcome to the Canada-ca repository where we invite you to
build on ideas and prototype methods for engaging Canadians and open public
poli",canada-ca,government-tech,The Canada-ca repository serves as a starting point for collaboration and innovation focused on engaging Canadians and developing open public policy methods. It invites contributions and prototyping of ideas to enhance public engagement.
repos,Collection of repos to help develop habesha apps. Created by @nathenapse,65,22,HTML,https://github.com/ethiopian/repos,"
Useful Projects (Repos) related to Ethiopia
==============================

This repository is a collection of repos that are concerned with developi",ethiopian,ethiopian-app-development,"This GitHub repository, created by @nathenapse, serves as a collection of resources and repositories aimed at supporting the development of apps and projects related to Ethiopian culture, community, or needs (""Habesha apps""). It provides a curated list of useful tools and projects focused on Ethiopia."
postmangovsg,Templated message sending for public officers,64,20,TypeScript,https://github.com/opengovsg/postmangovsg,"<a href=""https://postman.gov.sg""><img src=""frontend/src/assets/img/brand/app-logo.svg"" title=""Postman"" alt=""Postman.gov.sg""></a>

# Postman.gov.sg

> ",opengovsg,government-tech,"Postman.gov.sg is a platform designed to streamline templated message sending for public officers. It provides tools for crafting, managing, and dispatching communications efficiently, ensuring consistency in messaging. The repository includes the frontend and backend components to support the application's functionality."
